name,location,investment_focus,investor_type,stage_focus,portfolio_examples,source_link
Candice Brackeen,United States Ohio Cincinnati,"Health Care, High-growth Startups, E-commerce","Venture Capital, Corporate Venture Capital, Private Equity Firm, Fund Of Funds, Investor","Seed, Pre-Seed","Undock, Allergy Amulet, Healthy Roots Dolls, Kare Mobile, FreshFry",https://investorhunt.co/investors/candice-matthews-brackeen
Sam Baker,United States California San Francisco,"Health Care, Data Integration, E-commerce","Venture Capital, Entrepreneurship Program, Growth Operator, Private Equity Firm, Investment Partner, Investor","Series B, Series A",Comet.ml,https://investorhunt.co/investors/sam-baker
Paul Kohli,United States California Menlo Park,"Health Care, Emerging Technology, iOS Development","Venture Capital, Entrepreneurship Program, Private Equity Firm, Investment Partner","Series B, Early Stage Venture, Series A","SeekOut, Cube, Recogni, Quilt, Plus",https://investorhunt.co/investors/paul-kohli
Molly Bonakdarpour,United States Ohio Columbus,"Health Care, Data Integration, Talent Management","Venture Capital, Private Equity Firm, Investment Partner, Investor","Series B, Early Stage Venture","CirrusMD, battleface, Cyclica, Conduit Health, Droxi",https://investorhunt.co/investors/molly-bonakdarpour
Kevin Hayes,United States Ohio Beachwood,"Advertising, Health Care, Wellness","Venture Capital, Private Equity Firm, Angel/Individual, CEO, Micro VC",Early Stage Venture,NeuroControl Corporation,https://investorhunt.co/investors/kevin-hayes
Chris Cooper,United States Utah Salt Lake City,"Health Care, High-growth Startups, E-commerce","Hedge Fund, Venture Capital, Private Equity Firm","Series B, Early Stage Venture, Series A","Genetic Finance, Hornet Networks, MX Technologies, CloudVelocity, DNN Corp.",https://investorhunt.co/investors/chris-cooper
Stan Lynall,United States Illinois Peoria,"Patient Care, Health Care, Wearables","Venture Capital, Engineering Operator, Corporate Venture Capital",Non Equity Assistance,"Recuro Health, Inflammatix, DotCom Therapy, PhotoniCare, SilverCloud Health",https://investorhunt.co/investors/stan-lynall
Hrach Simonian,United States California Menlo Park,"Advertising, Health Care, Remote Work Tech","Venture Capital, Private Equity Firm, Investor","Series B, Series A","Lending Club, Blip, CompStak, UrbanSitter, Instacart",https://investorhunt.co/investors/hrach-simonian
Tomy Han,United States Massachusetts Boston,"Advertising, Health Care, Telecommunications","Venture Capital, Private Equity Firm, Investor",Seed,"Assent Compliance, Ping Identity, Xoom, TraceLink, mindSHIFT Technologies",https://investorhunt.co/investors/tomy-kihoon-han
Geri Kirilova,United States New York New York City,"Health Care, Remote Work Tech, E-commerce","Venture Capital, Private Equity Firm, Micro VC","Seed, Pre-Seed, Early Stage Venture","Homer Logistics, Ocrolus, Wethos, AutoFi, Unioncrate",https://investorhunt.co/investors/geri-kirilova
Larry Miller,United States Pennsylvania Pittsburgh,"Health Care, Enterprise Software, Energy","Venture Capital, Incubator, Government Office, Private Equity Firm",Early Stage Venture,"Honeycomb Credit, SpIntellx, Komodo, Civic Champs, Gus Gear",https://investorhunt.co/investors/larry-miller
Rebecca Lynn,United States California San Francisco,"Health Care, Wellness, Enterprise Software","Venture Capital, Founder, Private Equity Firm, Angel/Individual, Finance Operator, Investment Partner, Investor","Seed, Series B, Early Stage Venture, Series A","Yellowsmith, Possible Finance, Convo, Tilled, Particle Health",https://investorhunt.co/investors/rebecca-lynn
Jed Smith,United States California San Francisco,"Health Care, Wearables, Events Services","Venture Capital, Private Equity Firm, Micro VC",Early Stage Venture,"PresenceLearning, Modumetal, MasteryConnect, EdSurge, Quri",https://investorhunt.co/investors/jed-smith
Connor Pike,United States California San Francisco,"Advertising, Health Care, Talent Management","Venture Capital, Private Equity Firm, Angel/Individual, Finance Operator, Investment Partner, Investor","Series B, Early Stage Venture","Poolwerx Corporation Pty Ltd, Wine Access, Forum Brands, SmartSign, Vuori",https://investorhunt.co/investors/connor-pike
Jason Shuman,United States New York New York City,"Advertising, Health Care, Talent Management","Venture Capital, Private Equity Firm, Investor","Seed, Early Stage Venture","Latch, Gamer Sensei, Skedaddle, Transported, Roam",https://investorhunt.co/investors/jason-shuman
SC Moatti,United States California San Francisco,"Advertising, Health Care, Genetics","Venture Capital, Founder, Private Equity Firm, Micro VC, Investment Partner, Investor","Seed, Early Stage Venture","Aqueduct Critical Care, Bluedot, Amplitude, DigitalOcean, Accern",https://investorhunt.co/investors/sc-moatti
Robert Faber,United States Florida Tampa,"Health Care, Email, E-commerce","Venture Capital, Entrepreneurship Program, Private Equity Firm, Investment Partner, Investor",Seed,"The Zebra, VAZATA, Pace mate, Mailprotector, Carterra",https://investorhunt.co/investors/robert-faber
TJ Nahigian,United States California San Francisco,"Health Care, Talent Management, Autonomous Vehicles","Venture Capital, Entrepreneurship Program, Founder, Private Equity Firm, Angel/Individual, Investment Partner, Investor","Seed, Early Stage Venture, Series A","Cue, Avochato, Acquire, Coatue Management, Accel Partners",https://investorhunt.co/investors/tj-nahigian
Ilkka Kivimaeki,Finland Uusimaa Helsinki,"Health Care, Brand Development, Pet Care","Venture Capital, Private Equity Firm","Pre-Seed, Early Stage Venture, Series A","Baseimmune, Enfuce, Calqulate, ultimate.ai, IQM",https://investorhunt.co/investors/ilkka-kivimaeki
Joe Bond,United Kingdom England Greater London,"Health Care, Talent Management, Remote Work Tech","Venture Capital, Founder, Growth Operator, Private Equity Firm, Finance Operator, Micro VC","Seed, Pre-Seed, Early Stage Venture","Abacum, Syft App, Smitten, Nodalview, Blueheart",https://investorhunt.co/investors/joe-bond
Oleg Malenkov,United Kingdom England London,"Health Care, Mobility, Autonomous Vehicles","Venture Capital, Entrepreneurship Program, Accelerator, Private Equity Firm, Investor","Seed, Early Stage Venture","Walnut, Jiffy Grocery, Coterie, CAST.AI, Bipi",https://investorhunt.co/investors/oleg-malenkov
Sachin Tagra,India Maharashtra Mumbai,"Local Commerce, Health Care, Data Science","Venture Capital, Private Equity Firm","Early Stage Venture, Series A, Non Equity Assistance","HealthPlix, Purplle, HomeLane, LimeTray, Indus OS",https://investorhunt.co/investors/sachin-tagra
Matt Downs,United States Utah Lehi,"Health Care, Wearables, Genetics","Venture Capital, Accelerator, Private Equity Firm, Investor",Series B,"Full Harvest, Nuritas, Picwell, Lumiata, Culture Biosciences",https://investorhunt.co/investors/matt-downs
Anis Uzzaman,United States California San Jose,"Clean Tech, Health Care, Mobility",Venture Capital,"Seed, Pre-Seed, Early Stage Venture","Vicarious, Osaro, DoorDash, Robinhood, Bulletin",https://investorhunt.co/investors/anis-uzzaman-phd
Jake Medwell,United States Texas Austin,"Health Care, Autonomous Vehicles, Events Services","Venture Capital, Advisor, Founder, Private Equity Firm, Finance Operator, Investor",Series B,"MakeSpace, Eight Sleep, Millions, IdeaFlow, Premise Data",https://investorhunt.co/investors/jake-medwell
Brian Davis,United States Colorado Denver,"Advertising, Health Care, Emerging Technology","Venture Capital, Founder, Private Equity Firm, Finance Operator, Investor","Early Stage Venture, Series A","Thrive Global, Ring, Scopely, dot.LA, June",https://investorhunt.co/investors/brian-davis
Brian Matthews,United States Missouri Chesterfield,"Advertising, Patient Care, Health Care","Venture Capital, Private Equity Firm, Angel/Individual, Finance Operator, Investment Partner",Seed,"ApplyBoard, Taulia, Digabit, Inc., Taulia Inc., Social Tables",https://investorhunt.co/investors/brian-matthews
Byron Deeter,United States California Atherton,"Health Care, Sports Events, E-commerce","Venture Capital, Private Equity Firm, Angel/Individual, Finance Operator, Investor","Series B, Early Stage Venture","Fam, SendGrid, Twilio, Tile, Zylo",https://investorhunt.co/investors/byron-deeter
Todd Klein,United States Maryland Bethesda,"Advertising, Health Care, Talent Management","Venture Capital, Private Equity Firm",Early Stage Venture,"Arxan Technologies, Aztek Networks, ideeli, Overture Networks, PaySimple",https://investorhunt.co/investors/todd-klein
Liam Donohue,United States Massachusetts Boston,"Health Care, Data Integration, High-growth Startups","Venture Capital, Founder, Private Equity Firm, Venture Debt, Investment Partner, Investor","Seed, Early Stage Venture, Series A","EnergyHub, CoPatient, Corvus Insurance, AbleTo, Iora Health",https://investorhunt.co/investors/liam-donohue
Jim Gunton,United States New Jersey Trenton,"Clean Tech, Health Care, Telecommunications","Venture Capital, Private Equity Firm","Early Stage Venture, Series A","TrekIT Health, Forefront TeleCare, CareAlign",https://investorhunt.co/investors/jim-gunton
Matus Maar,United Kingdom England London,"Health Care, Remote Work Tech, Wellness","Venture Capital, Private Equity Firm, Angel/Individual, Investment Partner","Seed, Series A","Plum Guide, Pirate Studios, Price f(x)",https://investorhunt.co/investors/matus-maar
Spencer Woods,United Kingdom England Hale,"Health Care, Autonomous Vehicles, E-commerce","Venture Capital, Entrepreneurship Program, Private Equity Firm, Investor","Series B, Early Stage Venture","Caristo Diagnostics, Gousto, Oxbotica, e2e-assure, Cambridge GaN Devices",https://investorhunt.co/investors/spencer-woods
Dennis Atkinson,United Kingdom England London,"Health Care, Telecommunications, Hospitals","Venture Capital, Entrepreneurship Program, Private Equity Firm, Investor","Series B, Early Stage Venture","Good Technology, Baidu, Direct Flow Medical, Ember, Spinal Modulation",https://investorhunt.co/investors/dennis-atkinson
Hilary Strain,United States California San Francisco,"Health Care, Data Integration, Semantic Search","Venture Capital, Founder, Private Equity Firm",Early Stage Venture,"Upsolver, StarkWare Industries, Around, Hydrolix, Torii",https://investorhunt.co/investors/hilary-strain
Tim Rea,United Kingdom England London,"Health Care, Autonomous Vehicles, E-commerce","Venture Capital, Entrepreneurship Program, Private Equity Firm, Investor","Series B, Early Stage Venture","Caristo Diagnostics, Gousto, Oxbotica, e2e-assure, Cambridge GaN Devices",https://investorhunt.co/investors/tim-rea
Kirsty Macdonald,United Kingdom England London,"Health Care, Brand Development, Wearables","Venture Capital, Corporate Venture Capital, Private Equity Firm, Angel/Individual, Micro VC, Investor","Seed, Early Stage Venture","Wevat, Simba Sleep, Quell, Koru Kids, Gojimo",https://investorhunt.co/investors/kirsty-macdonald
Sumant Mandal,United States California Santa Monica,"Health Care, Email, E-commerce","Venture Capital, Private Equity Firm, Investor","Series B, Series A","Uniphore, Rubicon Project, Kazeon, Mimosa Systems, Nile",https://investorhunt.co/investors/sumant-mandal
Igor Tikhturov,United Kingdom England London,"Health Care, Cybersecurity, Wellness","Venture Capital, Founder, Private Equity Firm, Angel/Individual, Micro VC, Investment Partner, Investor",Seed,"Alphagreen Group, HolidayFox, MEplace, Umba, Angel Investor",https://investorhunt.co/investors/igor-tikhturov
Edward Yip,United States California San Francisco,"Health Care, E-commerce, Payments","Venture Capital, Private Equity Firm, Angel/Individual, Finance Operator, Investor","Series B, Early Stage Venture","ModCloth, Second Measure, IFTTT, Minted, PumpUp",https://investorhunt.co/investors/edward-yip
Alan Patricof,United States New York New York City,"Advertising, Health Care, Wearables","Venture Capital, Private Equity Firm, Angel/Individual, Finance Operator, Investment Partner, Investor","Seed, Pre-Seed, Early Stage Venture, Series A","Verse, Leena AI, Catapult, Alpha Tau Medical, Wondery",https://investorhunt.co/investors/alan-patricof
Jonathan Ebinger,United States California San Francisco,"Health Care, E-commerce, Payments","Venture Capital, Private Equity Firm, Angel/Individual, CEO, Investor",Seed,"TenureX, LoftSmart, Loyal Foundry, Haus.com, PayStand",https://investorhunt.co/investors/jonathan-ebinger
Pascal Cagni,France Île-de-France Paris,"Health Care, Remote Work Tech, Autonomous Vehicles","Venture Capital, Founder, Private Equity Firm, CEO, Investor",Seed,"Beam, Foursquare, Graphcore, Formlabs, Everli",https://investorhunt.co/investors/pascal-cagni
David Beyer,United States California San Francisco,"Advertising, Health Care, Data Integration","Venture Capital, Entrepreneurship Program, Private Equity Firm, Angel/Individual, Investment Partner, Investor","Seed, Early Stage Venture, Series A","Cruise, Cruise Automation, Circa, Campaign, Lightwell Hullabalu",https://investorhunt.co/investors/david-beyer
Alan Cohen,United States California San Francisco,"Health Care, Digital Therapeutics, Genetics","Venture Capital, Private Equity Firm, Angel/Individual, Investment Partner, Investor","Seed, Series B, Early Stage Venture","Pivot Bio, Mist Systems, Arkin, Luminos.AI, Knitit.ai",https://investorhunt.co/investors/alan-cohen
Benjamin Lambert,United States Utah Salt Lake City,"Patient Care, Health Care, E-commerce","Venture Capital, Private Equity Firm, Investor","Seed, Series A","Divvy, Grow, dot.LA, UpGuard, SteadyMD",https://investorhunt.co/investors/benjamin-lambert
Anarghya Vardhana,United States California San Francisco,"Advertising, Health Care, Brand Development","Venture Capital, Corporate Venture Capital, Private Equity Firm, Angel/Individual, Investment Partner",Early Stage Venture,"Against Gravity, Discovr Labs, Expii, Imperfect Produce, Vanta",https://investorhunt.co/investors/anarghya-vardhana
Tara Reeves,United Kingdom England London,"Health Care, Wearables, E-commerce","Venture Capital, Private Equity Firm, Investment Partner, Investor","Crowdfunding, Series B","Wave, Manifold.co, Wattpad, Rover, Peerwell",https://investorhunt.co/investors/tara-reeves
Rob Delaney,United States New York New York City,"Advertising, Health Care, Payments","Venture Capital, Private Equity Firm, Angel/Individual, Investor",Series B,"InstaMed, Bay Dynamics, Accolade, Infrascale, Mavenlink",https://investorhunt.co/investors/rob-delaney
Nate Leung,United States California San Francisco,"Health Care, Wearables, Accounting","Venture Capital, Entrepreneurship Program, Private Equity Firm, Fund Of Funds, Investor",Series B,Tonal,https://investorhunt.co/investors/nate-leung
Gregory Ott,United States Ohio Twinsburg,"Advertising, Health Care, Wellness","Venture Capital, Private Equity Firm, Angel/Individual, CEO, Micro VC",Early Stage Venture,NeuroControl Corporation,https://investorhunt.co/investors/gregory-ott
Jason Caplain,United States North Carolina Durham,"Health Care, Talent Management, Email","Venture Capital, Founder, Private Equity Firm, Investor","Early Stage Venture, Series A","Artcom, ChannelAdvisor, Etix, Medfusion, WeddingWire",https://investorhunt.co/investors/jason-caplain
Adms Chung,United States California Mountain View,"Health Care, Wearables, E-commerce",Angel/Individual,Seed,"MoBagel, Gridtential Energy, Personalis, LanzaTech, Ambri, Inc.",https://investorhunt.co/investors/adms-chung
Brian Smiga,United States New York New York City,"Advertising, Health Care, Remote Work Tech","Venture Capital, Angel/Individual","Seed, Series A","Getaround, Wish, LiveIntent, Coupang, CoPromote",https://investorhunt.co/investors/brian-smiga
Gil Birnboim,United States New York New York City,"Advertising, Health Care, Autonomous Vehicles","Venture Capital, Accelerator, Private Equity Firm, Micro VC",Early Stage Venture,"Balance, CyCognito, Navmatic inc, BeeHero, SentinelOne",https://investorhunt.co/investors/gil-birnboim
Yoshimi Nomura,United States California San Francisco,"Advertising, Health Care, Telecommunications","Venture Capital, Private Equity Firm","Early Stage Venture, Series A","FLUX Japan, SafeGraph, CloudNatix, Tsunagu.AI, CAST.AI",https://investorhunt.co/investors/yoshimi-nomura
John Babcock,United States California Pasadena,"Advertising, Health Care, E-commerce","Venture Capital, Private Equity Firm",Early Stage Venture,"Navigating Cancer, UrbanSitter, Factual, Kin Community, Dollar Shave Club",https://investorhunt.co/investors/john-babcock
Elaine Russell,United States California Los Angeles,"Health Care, Talent Management, Wearables","Venture Capital, Private Equity Firm, Finance Operator, Investment Partner, Investor","Series B, Early Stage Venture","ZenBusiness, Scopely, dot.LA, Podchaser, Citizen",https://investorhunt.co/investors/elaine-russell
Tim Shannon,United States Connecticut Westport,"Advertising, Health Care, E-commerce","Venture Capital, Private Equity Firm, Investor","Series B, Series A","Homeis, Bellhops, Kustomer, Glooko, Leanplum",https://investorhunt.co/investors/tim-shannon
Prashant Shukla,United States California San Francisco,"Advertising, Health Care, Remote Work Tech","Venture Capital, Private Equity Firm, Investor","Seed, Early Stage Venture, Series A","Cabify, Apptimize, Mattermark, Casetext, Able Lending",https://investorhunt.co/investors/prashant-shukla
Ishani Ummat,United States Washington Seattle,"Advertising, Health Care, Data Integration","Venture Capital, Private Equity Firm, Investor","Seed, Early Stage Venture, Series A","Shyft Technologies, Coda, Crowd Cow, Pixel8earth, The Riveter",https://investorhunt.co/investors/ishani-ummat
Mark Siegel,United States Wyoming Jackson,"Advertising, Health Care, Drug Discovery","Venture Capital, Private Equity Firm, Finance Operator, Investment Partner",Early Stage Venture,"Carbonite, CHECK, Discovery Engine, Dropcam, eXelate",https://investorhunt.co/investors/mark-siegel
John Cowgill,United States California San Francisco,"Health Care, Autonomous Vehicles, Cybersecurity","Venture Capital, Private Equity Firm, Finance Operator",Early Stage Venture,"Empirical Security, detections.ai, RunReveal, Definite",https://investorhunt.co/investors/john-cowgill
Nino Marakovic,United States Texas Austin,"Health Care, Wearables, Accounting","Venture Capital, Entrepreneurship Program, Private Equity Firm, CEO, Fund Of Funds, Investor",Series B,"Inkling Systems, OpenX, Tonal, Integral Ad Science, OpsRamp, Inc.",https://investorhunt.co/investors/nino-marakovic
Timothy Young,United States New York New York City,"Advertising, Health Care, Data Integration","Venture Capital, Entrepreneurship Program, Founder, Private Equity Firm, Marketing Operator, Investment Partner",,"BridgeAthletic, Gridspace, Maker, Message Bus, Minbox",https://investorhunt.co/investors/timothy-young
Philippe Gire,France Île-de-France Paris,"Advertising, Health Care, Commercial","Venture Capital, Private Equity Firm, Micro VC, Investor","Seed, Early Stage Venture","Moment, Cook Angels, Armis, talent.io, Traefik Labs",https://investorhunt.co/investors/philippe-gire
Tony Conrad,United States California San Francisco,"Health Care, Wellness, Enterprise Software","Venture Capital, Founder, Private Equity Firm, Angel/Individual, Venture Debt, Investment Partner, Investor","Seed, Series B, Early Stage Venture, Series A","August Home, WeGame, Angara Database Systems, Qualaroo, Quarterly",https://investorhunt.co/investors/tony-conrad
Carle Stenmark,United States California San Francisco,"Advertising, Health Care, Emerging Technology","Venture Capital, Private Equity Firm, Investor","Series B, Early Stage Venture, Series A","Shogun, Daily Harvest, Daasity, nutpods, Boulevard",https://investorhunt.co/investors/carle-stenmark
Vinay Rao,India Karnataka Bengaluru,"Advertising, Clean Tech, Health Care","Venture Capital, Private Equity Firm, Micro VC","Seed, Early Stage Venture, Series A","Pitstop, Infinite Uptime, MoEngage, Ocean Sparkle, Perpetual Global Technologies",https://investorhunt.co/investors/vinay-rao
Cenk Bayrakdar,Turkey Istanbul Province Istanbul,"Advertising, Health Care, Digital Services","Venture Capital, Corporate Venture Capital, Private Equity Firm, Micro VC","Series B, Early Stage Venture, Series A","Getir, Massive Bio, CYVision, TransferGo, Figopara",https://investorhunt.co/investors/cenk-bayrakdar
Ali Tamaseb,United States California San Francisco,"Health Care, Genetics, Women Founded","Venture Capital, Private Equity Firm",Early Stage Venture,"StarkWare Industries, Gro Intelligence, Deepcell, Subtle Medical, Axelar",https://investorhunt.co/investors/ali-tamaseb
Roger Ehrenberg,United States New York New York City,"Advertising, Health Care, Email","Venture Capital, Advisor, Angel/Individual, Investment Partner",Seed,"Amicus, Kohort, Twice, Stocktwits, BillGuard",https://investorhunt.co/investors/roger-ehrenberg
Aaron Goldman,United States New York New York City,"Health Care, Talent Management, E-commerce","Venture Capital, Private Equity Firm, Investor",Series B,"Opendoor, Grove Collaborative, Bolt, Unacademy, Duolingo",https://investorhunt.co/investors/aaron-goldman
Aaron Cohen,United States Illinois Chicago,"Advice, Health Care, Telecommunications","Venture Capital, Private Equity Firm",Early Stage Venture,"Gogo, CAPTRUST, Vivid Seats, Vector Laboratories, Transaction Data Systems",https://investorhunt.co/investors/aaron-cohen
Mark Mansour,United States Ohio Beachwood,"Advertising, Health Care, Wellness","Venture Capital, Private Equity Firm, Angel/Individual, CEO, Micro VC",Early Stage Venture,"NeuroControl Corporation, RMB Products, Zinkan",https://investorhunt.co/investors/mark-mansour
Rainer Strohmenger,Germany Bavaria Munich,"Health Care, Digital Therapeutics, Regenerative Medicine","Venture Capital, Private Equity Firm, Finance Operator","Seed, Early Stage Venture","Actelion, Definiens, Genticel, Immatics Biotechnologies, Immobilien Scout",https://investorhunt.co/investors/rainer-strohmenger
Vasudev Bailey,United States California San Francisco,"Health Care, Drug Discovery, Cybersecurity","Venture Capital, Private Equity Firm","Series B, Series A","Artsy, Quid, Modern Meadow, Practice Fusion, Palantir Technologies",https://investorhunt.co/investors/vasudev-bailey
Vic Singh,United States New York New York City,"Health Care, Data Integration, Hospitals","Venture Capital, Entrepreneurship Program, Founder, Private Equity Firm, Marketing Operator, Investor","Seed, Pre-Seed, Early Stage Venture","Fitocracy, BetterCompany, Luxe, Hinge, Owlet Baby Care",https://investorhunt.co/investors/vic-singh
Christopher Zock,United States Texas Austin,"Health Care, Wearables, Genetics","Venture Capital, Accelerator, Private Equity Firm, Investor",Series B,"Full Harvest, Nuritas, Picwell, Lumiata, Culture Biosciences",https://investorhunt.co/investors/christopher-zock
Chris Hardy,United States Ohio Cincinnati,"Health Care, Algorithms, Accounting",Venture Capital,Seed,"PillPack, Simplus, Joyent, Orchestrate, Canopy Tax",https://investorhunt.co/investors/chris-hardy
Jimmy Zhu,United States California San Francisco,"Advertising, Health Care, Talent Management","Venture Capital, Corporate Venture Capital, Private Equity Firm, Investor",Seed,,https://investorhunt.co/investors/jimmy-z
Davis Treybig,United States California San Mateo,"Health Care, Emerging Technology, Research and Development","Venture Capital, Private Equity Firm, Finance Operator, Micro VC, Investor","Series B, Early Stage Venture, Series A","Periscope Data, RealtyBits, HomeLight, Dynamic Yield, Vicarious Surgical",https://investorhunt.co/investors/davis-treybig
Marc McMorris,United States California San Francisco,"Health Care, Telecommunications, E-commerce","Venture Capital, Founder, Private Equity Firm, CEO, Investor",Series B,"InstaMed, Bay Dynamics, Accolade, Infrascale, Mavenlink",https://investorhunt.co/investors/marc-mcmorris
Angel Versetti,Bermuda Pembroke Parish,"Health Care, Research and Development, Wellness",Family Investment Office,"Seed, Pre-Seed","Dogecoin, Sonics, PrivateAI, fintonic, Solana",https://investorhunt.co/investors/angel-versetti
Peter Spring,United States Massachusetts Boston,"Health Care, Talent Management, Telecommunications","Venture Capital, Private Equity Firm, Investment Partner, Investor",Series B,"By Chloe, Multi-Specialty HealthCare, TeachTown, SpringWorks Therapeutics, Broadstep Behavorial Health",https://investorhunt.co/investors/peter-spring
Denis Patrick,United States New York Pearl River,"Health Care, Wellness, Biotechnology","Venture Capital, Angel/Individual, Investor","Series B, Series A","EvolveImmune Therapeutics, MISSION Therapeutics, eFFECTOR Therapeutics, Inc., FoRx Therapeutics, GlaxoSmithKline",https://investorhunt.co/investors/denis-patrick
Anthony Billings,United States Missouri Chesterfield,"Health Care, Telecommunications, Solar Energy","Venture Capital, Private Equity Firm",Early Stage Venture,"Recursion Pharmaceuticals, Cultiva, First Orion, E-Pak Manufacturing, Capital City Trucking",https://investorhunt.co/investors/anthony-billings
Tim Guleri,United States California San Francisco,"Health Care, Emerging Technology, Data Integration","Venture Capital, Founder, Private Equity Firm, Angel/Individual, CEO, Operator, Investor","Early Stage Venture, Series A","Zeni, Interplay Learning, Fabric, Inspirit, Yotta Digital Ventures",https://investorhunt.co/investors/tim-guleri
Santiago Zavala,Mexico Mexico City Mexico City,"Advertising, Health Care, High-growth Startups","Venture Capital, Incubator, Entrepreneurship Program, Corporate Venture Capital, Founder, Private Equity Firm, Angel/Individual, Finance Operator, Micro VC, Investor","Seed, Pre-Seed, Series A","Conekta, WePlann, Auto Chilango, Funnely, Shopeando",https://investorhunt.co/investors/santiago-zavala
Kelly Chen,United States California Glendale,"Advertising, Health Care, Remote Work Tech","Venture Capital, Private Equity Firm, Investor","Seed, Early Stage Venture, Series A","Carbon Health, Mirror Emoji Keyboard, Rescale, Capella Space, Pivot Bio",https://investorhunt.co/investors/kelly-chen
Alice Brooks,United States California San Francisco,"Health Care, Wearables, E-commerce","Venture Capital, Private Equity Firm, Venture Debt, Investor","Series B, Early Stage Venture","Atmos, Coda, Quell, Eight Sleep, Truework",https://investorhunt.co/investors/alice-brooks
Johannes Fischer,Germany Bavaria Munich,"Health Care, Digital Therapeutics, Regenerative Medicine","Venture Capital, Private Equity Firm, Finance Operator","Seed, Early Stage Venture","UroMems, EGenesis, Carisma Therapeutics, Koa Health, IconOVir Bio",https://investorhunt.co/investors/johannes-fischer
Patrick Kerins,United States Florida Jupiter,"Advertising, Health Care, Emerging Technology","Venture Capital, Private Equity Firm, Angel/Individual","Series B, Series A","BuzzFeed, Fieldglass, Videology, Millennial Media, ChannelAdvisor",https://investorhunt.co/investors/patrick-kerins
Matt Rice,United States Florida Tampa,"Health Care, Email, E-commerce","Venture Capital, Entrepreneurship Program, Private Equity Firm, Investment Partner, Investor",Seed,"The Zebra, VAZATA, Pace mate, Mailprotector, Carterra",https://investorhunt.co/investors/matt-rice
Marissa Bertorelli,United States California San Francisco,"Health Care, Women Founded, Enterprise Software","Venture Capital, Private Equity Firm, Investor","Seed, Pre-Seed","Pointy, Drizly, Kallyope, Notarize, Primmune Therapeutics",https://investorhunt.co/investors/marissa-bertorelli
Sasha Hayman,United States Illinois Evanston,"Health Care, Wearables, Genetics","Venture Capital, Private Equity Firm, Micro VC",Early Stage Venture,"FundGuard, Rhino Health, Remesh, Protenus, metaMe Health",https://investorhunt.co/investors/sasha-hayman
Seth Berman,United States California San Francisco,"Advertising, Health Care, Wearables","Venture Capital, Growth Operator, Private Equity Firm, Angel/Individual, Micro VC, Investment Partner, Investor","Seed, Early Stage Venture","Periscope Data, Rally, LendUp, NewHive, Qwiki",https://investorhunt.co/investors/seth-berman
Kimmy Scotti,United States New York New York City,"Health Care, E-commerce, Customer Service","Venture Capital, Founder, Private Equity Firm, CEO, Finance Operator, Investor",Series B,"MakeSpace, Eight Sleep, Millions, IdeaFlow, Premise Data",https://investorhunt.co/investors/kimmy-scotti
Morad Elhafed,United States Massachusetts Boston,"Advertising, Health Care, Talent Management","Venture Capital, Private Equity Firm, Angel/Individual, Investment Partner","Series B, Early Stage Venture, Series A","SingleHop, Syndigo, AdaCore, ORTEC, Shiftmove",https://investorhunt.co/investors/morad-elhafed
Andrew Chen,United States California San Francisco,"Health Care, Talent Management, Data Science","Venture Capital, Private Equity Firm, Angel/Individual, Finance Operator, Investment Partner, Investor","Seed, Series B, Series A","Atrium LTS, Ramen VR, Captain Experiences, Turnip, Pocket Conservatory",https://investorhunt.co/investors/andrew-chen
Tom Groos,United States Illinois Chicago,"Health Care, Wearables, Autonomous Vehicles","Venture Capital, Private Equity Firm, Micro VC, Investor",Seed,"ONEHOPE, 100Plus, Tinkergarten, Practice, Zero Grocery",https://investorhunt.co/investors/tom-groos
Cliff Holekamp,United States South Carolina Greenville,"Health Care, Wellness, Investment Management","Venture Capital, Private Equity Firm, Angel/Individual, Finance Operator, Investment Partner","Early Stage Venture, Series A","PlanGap, Clever Real Estate, Curate, FinLocker, Avail",https://investorhunt.co/investors/cliff-holekamp
Ethan Batraski,United States California San Francisco,"Advertising, Health Care, Remote Work Tech","Venture Capital, Entrepreneurship Program, Private Equity Firm, Finance Operator, Investment Partner, Investor","Series B, Series A","Dapper Labs, Dstillery, 3Box, Stride Health, Nightfall AI",https://investorhunt.co/investors/ethan-batraski
Jane Lee,United States California San Francisco,"Advertising, Health Care, Brand Development","Venture Capital, Entrepreneurship Program, Private Equity Firm, Fund Of Funds, Investor",Series B,"PlayVS, SafeGraph, CircleCI, BetterUp, Overtime",https://investorhunt.co/investors/jane-lee
Maxime Dantec,France Île-de-France Paris,"Health Care, Email, E-commerce","Venture Capital, Founder, Private Equity Firm, Investor","Early Stage Venture, Series A","Algolia, Dataiku, Finoa, Linc, Tomorro (ex Leeway)",https://investorhunt.co/investors/maxime-le-dantec
Brentt Baltimore,United States California Los Angeles,"Health Care, Wearables, E-commerce","Venture Capital, Private Equity Firm, Finance Operator, Venture Debt, Investor",Series B,"ZenBusiness, Scopely, dot.LA, Podchaser, Citizen",https://investorhunt.co/investors/brentt-baltimore
Matt Cross,Canada British Columbia Vancouver,"Health Care, Telecommunications, Computer Vision","Hedge Fund, Venture Capital, Founder, Private Equity Firm, Angel/Individual, Investor",Seed,"Avidbots, 1NCE, Walt's Wholesale Meats, Inc., Mint Smartwash, GridPoint",https://investorhunt.co/investors/matt-cross
